channel_id,channel_title,created_at,country,playlist_id,view_count,subscriber_count,video_count
UCyn_E0ZE8RNOnYnF3lVaCOQ,캐릭온 TV,2011-08-14T16:34:23Z,KR,UUyn_E0ZE8RNOnYnF3lVaCOQ,2952751690,2440000,1376
UCitKV0ebZVbtU2nIPihDGMQ,Dollightful,2016-01-17T03:27:04Z,KR,UUitKV0ebZVbtU2nIPihDGMQ,348640067,2000000,200
UCzn4afrl9JbfP6sVj5lPrYw, Super JoJo - Canciones Infantiles,2021-08-04T18:27:49.9Z,MX,UUzn4afrl9JbfP6sVj5lPrYw,1335640,7550,5
UCTibPQDoQUvx_OLrTaN492w,오콘키즈,2012-08-16T09:49:22Z,KR,UUTibPQDoQUvx_OLrTaN492w,2004278421,2010000,1529
UC0SVqB_1E2Kgh3cx3Y8xtfA,헬로카봇 - hello carbot official,2016-07-11T08:35:17Z,KR,UU0SVqB_1E2Kgh3cx3Y8xtfA,1791549303,1800000,2018
UC3dt8G_iIiZXijtaaLgo1HA,little harmony,2016-06-17T02:14:01Z,KR,UU3dt8G_iIiZXijtaaLgo1HA,90246520,1560000,79
UCGyP8vBIV9gX8xWc4g-ZlCA,사업하는철학자김성진 ,2014-02-21T22:51:59Z,NP,UUGyP8vBIV9gX8xWc4g-ZlCA,21061,1460000,42
UCuI7J9khfdYqzDN8nDriDxg,주니토니 동요동화 - 키즈캐슬,2012-12-17T09:30:45Z,KR,UUuI7J9khfdYqzDN8nDriDxg,2088252999,2460000,1482
UC1WEOQjm8tyT1pXY6xaoYZQ,또봇 Tobot,2012-02-22T03:49:22Z,KR,UU1WEOQjm8tyT1pXY6xaoYZQ,3083043974,2340000,2558
UCbuks6fmwRefCTGg9aNwgeQ,꾹TV(Kkuk TV),2015-08-06T17:43:56Z,KR,UUbuks6fmwRefCTGg9aNwgeQ,1269695976,1820000,2018
UCeWLXCkbuiDi1EhQOoGoqDg,리틀엔젤 인기동요 어린이노래 - Little Angel,2020-08-11T15:48:59.654564Z,KR,UUeWLXCkbuiDi1EhQOoGoqDg,957583792,1630000,589
UCN106RQxroojNzkEMuRC0BA,캐리TV 장난감친구들,2014-08-04T06:34:16Z,KR,UUN106RQxroojNzkEMuRC0BA,3035583348,2070000,3533
UCtckgmUcpzqGnzcs7xEqMzQ,자이언트 펭TV,2019-03-15T05:04:00Z,KR,UUtckgmUcpzqGnzcs7xEqMzQ,569031057,1750000,915
UCkrboHEREUVOaFNbuQ2taZg,프리티에스더 PrettyEsther,2016-08-03T09:44:12Z,KR,UUkrboHEREUVOaFNbuQ2taZg,933608042,1680000,759
UC-9Tn-iH6W_187YwCOf7CGw,핑크퐁! 아기상어 올리,2020-06-22T05:18:27.214233Z,KR,UU-9Tn-iH6W_187YwCOf7CGw,760046055,1290000,1350
UCKBt6VowYGmBpXFf3rVhaQA,브레드이발소,2015-09-16T11:19:56Z,KR,UUKBt6VowYGmBpXFf3rVhaQA,1353111454,2400000,1853
UC4qWDBnr9u2Ko7OGmELwv0A,WildBrain 한국어,2017-11-10T10:55:36Z,KR,UU4qWDBnr9u2Ko7OGmELwv0A,999949215,2450000,3263
UC7AmWE0eqBymIWwRnk8vmqg,두두팝토이,2019-09-10T07:39:30Z,KR,UU7AmWE0eqBymIWwRnk8vmqg,1076902174,1930000,1545
UCtluW96Vp3Z7tzvU1orf3Vw,보라미TV BoramiTV,2016-07-06T08:03:33Z,KR,UUtluW96Vp3Z7tzvU1orf3Vw,954572647,2710000,635
UCUsMmW_66go_EbTK-KHwG5w,Toytube,2013-10-22T14:03:53Z,US,UUUsMmW_66go_EbTK-KHwG5w,304923366,2360000,38
UC-8xPSlb0xDYqSuIWcdcPAQ,지니키즈 Genikids (인기 동요・동화),2015-11-06T03:56:03Z,KR,UU-8xPSlb0xDYqSuIWcdcPAQ,1603873416,1850000,1386
UCV4gTxgaJ8R7zKNlcV428bg,Pink Ping World,2021-06-20T05:56:44.272035Z,KR,UUV4gTxgaJ8R7zKNlcV428bg,656794096,2020000,765
UCXAStWmQsy2wREbsmWZWMzg,Paint Jelly,2018-09-01T07:00:02Z,KR,UUXAStWmQsy2wREbsmWZWMzg,1519469633,1690000,334
UCI55Yj9y3-5_vV7eW6qZHJA,공대아빠 [Engineering dad],2017-03-26T13:58:10Z,KR,UUI55Yj9y3-5_vV7eW6qZHJA,0,1860000,0
UC3FZjXIZrUwnk6-xqL4Fgvg,토이영어TV - ToyEnglishTV,2019-10-31T13:16:03.087374Z,KR,UU3FZjXIZrUwnk6-xqL4Fgvg,1599803247,2310000,30
UCiMpBxWnunMYzRUc2NDh33A,로보카폴리 TV,2018-02-23T02:48:46Z,KR,UUiMpBxWnunMYzRUc2NDh33A,1012043253,1450000,2163
UCGIMrHcc36a_nMZM202ZoDQ,우가놀이 WOOGA play,2021-03-15T04:17:49.222129Z,KR,UUGIMrHcc36a_nMZM202ZoDQ,725415409,1260000,463
UC_2A01cxTT0-LvUkB6ZvtJw,키글 토이 - 키즈 장난감,2019-05-08T05:23:45Z,KR,UU_2A01cxTT0-LvUkB6ZvtJw,702063752,1300000,1587
UC_Py3VQ4sjXHj1c4Rhb5ITw,베베핀 Bebefinn - 키즈 인기 동요,2022-04-27T05:34:46.54138Z,KR,UU_Py3VQ4sjXHj1c4Rhb5ITw,885993579,2700000,656
UCxLOTgnqpSqQp_kMPlb7PWw,ToyFamily,2014-05-08T15:02:59Z,KR,UUxLOTgnqpSqQp_kMPlb7PWw,412911,2320000,37
UC1EjtvDflBROblEaM1nMPWw,Deokdae 장덕대,2015-04-02T11:38:12Z,KR,UU1EjtvDflBROblEaM1nMPWw,1149295093,2280000,2324
UCi0mZC22Uj3ww0w9KtkPgZQ,뽀로로와 노래해요 (뽀로로 • 타요 인기동요),2017-04-18T00:46:07Z,KR,UUi0mZC22Uj3ww0w9KtkPgZQ,1152655379,1490000,2109
UC73TQ6-uoMkmpdJuwE6A2CA,말랑이랑 with a malang,2021-01-10T08:29:08.593317Z,KR,UU73TQ6-uoMkmpdJuwE6A2CA,1034748787,1530000,1001
UCtm_ppWxsfRzxaYXMA2bqMw,티니핑TV,2020-01-14T06:31:10.373769Z,KR,UUtm_ppWxsfRzxaYXMA2bqMw,1137564235,1350000,1021
UCbmPYMvpO9yQBWrnHtNXI6A,코코비 자동차,2015-09-09T01:50:29Z,KR,UUbmPYMvpO9yQBWrnHtNXI6A,11855105,1630000,164
UCurhiEYP-yQBRF9XNFHg4Ug,핑키팝토이,2019-09-10T06:58:53Z,KR,UUurhiEYP-yQBRF9XNFHg4Ug,1004894075,1980000,1316
UCbXvj_H3xn3J0j-9Fh75Z3w,리틀신비🎵 | 키즈 율동 동요,2017-09-01T05:42:11Z,KR,UUbXvj_H3xn3J0j-9Fh75Z3w,1433488871,1590000,1608
UChEwXdVqiTrVOBiq4rOzfGA,뉴욕이네,2015-03-08T10:17:01Z,KR,UUhEwXdVqiTrVOBiq4rOzfGA,881216118,1830000,937
UCJL4eKjZ3hPCtDvsWLh5Wng,원더로그 WONDER LOG ,2016-02-16T02:10:13Z,KR,UUJL4eKjZ3hPCtDvsWLh5Wng,141656038,2180000,596
UCXB3QDMncTKZFsGrd11zviw,반짝반짝 달님이 Dalimi_Animation,2021-01-12T04:54:13.377806Z,KR,UUXB3QDMncTKZFsGrd11zviw,823300543,1620000,720
UCVvke1BdYuZc7DYIAyDSQHQ,"토닥토닥 꼬모 - 애니메이션, 동요, 놀이",2015-09-10T08:28:01Z,KR,UUVvke1BdYuZc7DYIAyDSQHQ,3585511513,2860000,1564
UClECKvorc7Ul-a_wWAeoWUg,Fy's 파이스,2018-10-04T01:54:21Z,KR,UUlECKvorc7Ul-a_wWAeoWUg,132840,1660000,15
UCJlNBdRJPnxsHjdaTNEqmOg,호기! 핑크퐁 - 놀면서 배워요,2020-02-10T02:00:53.411836Z,KR,UUJlNBdRJPnxsHjdaTNEqmOg,1284733897,2320000,1514
UCx8IhwapX8E7uooFYJIeVZw,유라야놀자(Let's play YURA),2016-01-27T12:50:25Z,KR,UUx8IhwapX8E7uooFYJIeVZw,2710855856,2220000,2029
